"OTU","Treatment","Day","log2FoldChange","p"
"OTU.1586","13CXPS","30",0.215850430462268,0.789989195101115
"OTU.602","13CXPS","30",0.308363560614389,0.707180094168473
"OTU.552","13CXPS","30",0.167460486404159,0.830690663271876
"OTU.363","13CXPS","30",0.551202383736734,0.442010713812541
"OTU.364","13CXPS","30",0.0384944709975081,0.915653993316608
"OTU.150","13CXPS","30",0.446472984858657,0.564547652958356
"OTU.204","13CXPS","30",-0.376305808131822,0.994491142018893
"OTU.468","13CXPS","30",-0.271560739780858,0.986878319404516
"OTU.920","13CXPS","30",0.284803016719693,0.728699657885543
"OTU.600","13CXPS","30",0.665118160622092,0.32031447073794
"OTU.553","13CXPS","30",0.473895210413695,0.529440586307576
"OTU.414","13CXPS","30",0.59950280619813,0.388607367167822
"OTU.354","13CXPS","30",0.295939479123437,0.725369153869566
"OTU.597","13CXPS","30",0.23231895191714,0.777452024912625
"OTU.359","13CXPS","30",0.409430619657967,0.602179422063347
