OTU,shift,Day,Treatment
OTU.5292,,30,13CCSS
OTU.5293,,30,13CCSS
OTU.5290,,30,13CCSS
OTU.5291,,30,13CCSS
OTU.2530,,30,13CCSS
OTU.2531,,30,13CCSS
OTU.4967,,30,13CCSS
OTU.4966,,30,13CCSS
OTU.4965,-0.008039781353287534,30,13CCSS
OTU.4964,,30,13CCSS
OTU.4963,,30,13CCSS
OTU.4962,,30,13CCSS
OTU.4961,,30,13CCSS
OTU.4960,,30,13CCSS
OTU.4969,-0.002394936800343306,30,13CCSS
OTU.4968,,30,13CCSS
OTU.4900,,30,13CCSS
OTU.6187,,30,13CCSS
OTU.6186,,30,13CCSS
OTU.6185,,30,13CCSS
OTU.6184,0.05505379886813233,30,13CCSS
OTU.6183,,30,13CCSS
OTU.6182,,30,13CCSS
OTU.6181,,30,13CCSS
OTU.6180,,30,13CCSS
OTU.6189,,30,13CCSS
OTU.6188,,30,13CCSS
OTU.560,0.006355000685273282,30,13CCSS
OTU.561,-0.011903526554394306,30,13CCSS
OTU.562,-0.009254371084478796,30,13CCSS
OTU.563,0.01036857442651784,30,13CCSS
OTU.564,-0.009826881177300795,30,13CCSS
OTU.565,-0.0126227427548955,30,13CCSS
OTU.566,0.007999167968162357,30,13CCSS
OTU.567,-0.013372721246323271,30,13CCSS
OTU.2514,0.010950338354201117,30,13CCSS
OTU.2515,,30,13CCSS
OTU.2516,,30,13CCSS
OTU.2517,,30,13CCSS
OTU.2510,,30,13CCSS
OTU.2511,-0.0024993653959686224,30,13CCSS
OTU.2512,0.008970294458100714,30,13CCSS
OTU.2513,0.008264064708680019,30,13CCSS
OTU.3609,,30,13CCSS
OTU.3608,,30,13CCSS
OTU.3603,0.0013410745913227107,30,13CCSS
OTU.3602,,30,13CCSS
OTU.3601,0.0023647876013315194,30,13CCSS
OTU.3600,,30,13CCSS
OTU.3607,0.009023459794449407,30,13CCSS
OTU.3606,,30,13CCSS
OTU.3605,0.008145561497612475,30,13CCSS
OTU.3604,,30,13CCSS
OTU.788,-0.01388988510218847,30,13CCSS
OTU.789,-0.014031231019671742,30,13CCSS
OTU.784,-0.006547817270490919,30,13CCSS
OTU.785,0.011470477687678393,30,13CCSS
OTU.786,-0.010112085318901842,30,13CCSS
OTU.787,0.003406670241353993,30,13CCSS
OTU.780,0.00631459688528313,30,13CCSS
OTU.781,-0.0042950112012707375,30,13CCSS
OTU.782,-0.014730548111034025,30,13CCSS
OTU.783,-0.0037633516471906603,30,13CCSS
OTU.4585,0.03384266060049557,30,13CCSS
OTU.4584,,30,13CCSS
OTU.4587,,30,13CCSS
OTU.4586,,30,13CCSS
OTU.4581,,30,13CCSS
OTU.4580,,30,13CCSS
OTU.4583,,30,13CCSS
OTU.4582,,30,13CCSS
OTU.1937,0.01486081452032062,30,13CCSS
OTU.4589,,30,13CCSS
OTU.4588,,30,13CCSS
OTU.2538,,30,13CCSS
OTU.6106,,30,13CCSS
OTU.2108,-0.013023130589572052,30,13CCSS
OTU.2550,-0.01183033065268213,30,13CCSS
OTU.2551,-0.045196779870035675,30,13CCSS
OTU.2552,0.010724026034710565,30,13CCSS
OTU.2103,0.0059036303782504795,30,13CCSS
OTU.2553,0.040682140493844665,30,13CCSS
OTU.5734,0.001916755692676686,30,13CCSS
OTU.2554,0.006084041533518825,30,13CCSS
OTU.2101,-0.04260136010698412,30,13CCSS
OTU.2555,0.010079915652094762,30,13CCSS
OTU.2100,,30,13CCSS
OTU.298,-0.025927528545497625,30,13CCSS
OTU.5768,,30,13CCSS
OTU.5769,,30,13CCSS
OTU.5766,,30,13CCSS
OTU.5767,,30,13CCSS
OTU.5764,,30,13CCSS
OTU.299,0.002162353328022837,30,13CCSS
OTU.5762,,30,13CCSS
OTU.5763,,30,13CCSS
OTU.5760,,30,13CCSS
OTU.5761,0.0431867441262046,30,13CCSS
OTU.296,-0.0023830020100208404,30,13CCSS
OTU.5733,0.007847053345419797,30,13CCSS
OTU.297,-0.0006487061130651117,30,13CCSS
OTU.2104,0.023319692524595093,30,13CCSS
OTU.294,-0.01788324676427111,30,13CCSS
OTU.295,-0.020106723012668803,30,13CCSS
OTU.4927,,30,13CCSS
OTU.4926,-0.008079956485377293,30,13CCSS
OTU.522,-0.004881463292321309,30,13CCSS
OTU.4924,,30,13CCSS
OTU.5359,,30,13CCSS
OTU.5358,,30,13CCSS
OTU.5357,,30,13CCSS
OTU.5356,,30,13CCSS
OTU.5355,,30,13CCSS
OTU.5354,,30,13CCSS
OTU.5353,-0.02036825843883916,30,13CCSS
