usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
   79    99.9%  38.4  0.00016   0.00123   0.08   0.000964    0.096%
   80    99.9%  37.7  0.00016    0.0015   0.08   0.000971    0.097%
   81    99.9%  37.6  0.00016   0.00157   0.08   0.000978    0.098%
   82    99.9%  37.6  0.00016   0.00158   0.08   0.000986    0.099%
   83    99.9%  37.6  0.00016   0.00167   0.08   0.000993    0.099%
   84    99.9%  37.9  0.00016    0.0016   0.08   0.001000    0.100%
   85    99.9%  38.5  0.00016   0.00139   0.09   0.001004    0.100%
   86    99.9%  38.6  0.00013   0.00132   0.09   0.001007    0.101%
   87    99.9%  38.7  0.00013   0.00128   0.09   0.001009    0.101%
   88    99.9%  38.6  0.00013   0.00124   0.09   0.001011    0.101%
   89    99.9%  38.5  0.00013   0.00127   0.09   0.001013    0.101%
   90    99.9%  38.6  0.00013   0.00126   0.09   0.001015    0.102%
   91    99.9%  38.6  0.00013   0.00126   0.09   0.001018    0.102%
   92    99.9%  38.8  0.00013   0.00123   0.09   0.001019    0.102%
   93    99.9%  38.8  0.00013   0.00121   0.09   0.001021    0.102%
   94    99.9%  38.8  0.00013   0.00122   0.10   0.001022    0.102%
   95    99.9%  38.7  0.00013   0.00121   0.10   0.001024    0.102%
   96    99.9%  38.7  0.00013   0.00124   0.10   0.001025    0.103%
   97    99.9%  38.6  0.00013   0.00126   0.10   0.001027    0.103%
   98    99.9%  38.5  0.00016    0.0013   0.10   0.001030    0.103%
   99    99.9%  38.4  0.00016   0.00133   0.10   0.001033    0.103%
  100    99.9%  38.4  0.00016   0.00138   0.10   0.001036    0.104%
  101    99.9%  38.6  0.00013   0.00138   0.10   0.001039    0.104%
  102    99.9%  38.7  0.00013   0.00142   0.11   0.001042    0.104%
  103    99.9%  38.7  0.00013   0.00136   0.11   0.001044    0.104%
  104    99.9%  38.7  0.00013   0.00134   0.11   0.001046    0.105%
  105    99.9%  38.6  0.00013   0.00136   0.11   0.001049    0.105%
  106    99.9%  38.6  0.00013   0.00137   0.11   0.001051    0.105%
  107    99.9%  38.5  0.00013   0.00141   0.11   0.001054    0.105%
  108    99.9%  38.4  0.00016   0.00138   0.11   0.001057    0.106%
  109    99.9%  38.4  0.00016   0.00139   0.12   0.001059    0.106%
  110    99.9%  38.5  0.00016   0.00137   0.12   0.001061    0.106%
  111    99.9%  38.7  0.00013   0.00129   0.12   0.001062    0.106%
  112    99.9%  38.8  0.00013   0.00128   0.12   0.001063    0.106%
  113    99.9%  38.9  0.00013   0.00124   0.12   0.001065    0.106%
  114    99.9%  38.9  0.00013    0.0012   0.12   0.001066    0.107%
  115    99.9%  39.0  0.00013   0.00117   0.12   0.001066    0.107%
  116    99.9%  39.0  0.00013   0.00111   0.12   0.001065    0.107%
  117    99.9%  38.9  0.00013    0.0011   0.12   0.001065    0.107%
  118    99.9%  39.0  0.00013   0.00107   0.13   0.001065    0.107%
  119    99.9%  38.9  0.00013   0.00107   0.13   0.001064    0.106%
  120    99.9%  39.0  0.00013   0.00106   0.13   0.001064    0.106%
  121    99.9%  38.9  0.00013   0.00108   0.13   0.001064    0.106%
  122    99.9%  38.8  0.00013   0.00107   0.13   0.001063    0.106%
  123    99.9%  37.1   0.0002   0.00137   0.13   0.001065    0.106%
  124    99.9%  36.9   0.0002   0.00142   0.13   0.001067    0.107%
  125    99.9%  37.0   0.0002   0.00142   0.13   0.001069    0.107%
  126    99.9%  38.5  0.00013    0.0012   0.13   0.001070    0.107%
  127    99.9%  38.8  0.00013   0.00116   0.14   0.001071    0.107%
  128    99.9%  38.7  0.00013   0.00116   0.14   0.001071    0.107%
  129    99.9%  38.7  0.00013   0.00118   0.14   0.001071    0.107%
  130    99.9%  38.7  0.00013   0.00115   0.14   0.001072    0.107%
  131    99.9%  38.7  0.00013   0.00117   0.14   0.001072    0.107%
  132    99.9%  38.8  0.00013   0.00113   0.14   0.001073    0.107%
  133    99.9%  38.8  0.00013   0.00113   0.14   0.001073    0.107%
  134    99.9%  38.7  0.00013   0.00117   0.14   0.001072    0.107%
  135    99.9%  38.6  0.00013   0.00126   0.14   0.001073    0.107%
  136    99.9%  38.4  0.00016   0.00125   0.15   0.001074    0.107%
  137    99.9%  38.3  0.00016    0.0013   0.15   0.001076    0.108%
  138    99.9%  38.0  0.00016   0.00139   0.15   0.001078    0.108%
  139    99.9%  37.9  0.00016   0.00145   0.15   0.001080    0.108%
  140    99.9%  37.8  0.00016   0.00149   0.15   0.001083    0.108%
  141    99.9%  38.0  0.00016   0.00148   0.15   0.001086    0.109%
  142    99.9%  38.0  0.00016   0.00152   0.15   0.001089    0.109%
  143    99.9%  38.0  0.00016   0.00155   0.16   0.001092    0.109%
  144    99.9%  38.0  0.00016   0.00155   0.16   0.001095    0.109%
